"Translation key","en-US","da-DK"
"agriculture","Agriculture","Landbrug"
"air","Air","Luft"
"animalWelfare","Animal welfare","Dyrevelfærd"
"antiRacism","AntiRacism","AntiRacisme"
"approach","Approach","Tilgang"
"arts","Arts","Kunst"
"balticSea","BalticSea","BalticSea"
"balticSeaYouthPlatform","BalticSeaYouthPlatform","BalticSeaYouthPlatform"
"banfossilfuels","Banfossilfuels","Forbydfossilebrændsler"
"biodiversityLand","Biodiversity land","Biodiversitet land"
"biodiversityWater","Biodiversity water","Biodiversitet vand"
"biomimicry","Biomimicry","Biomimicry"
"blackLivesMatter","BlackLivesMatter","BlackLivesMatter"
"blockades","Blockades","Blokader"
"cOP26","COP26","COP26"
"campaigns","Campaigns","Kampagner"
"capacityBuilding","Capacity building","Kapacitetsopbygning"
"circularEconomy","Circular economy","Cirkulær økonomi"
"civilDisobedience","Civil Disobedience","Civil ulydighed"
"cleanFreshwater","Clean freshwater","Rent grundvand"
"cleanOceans","Clean oceans","Rene have"
"climateChange","Climate change","Klimaforandringer"
"collaboration","Collaboration","Samarbejder"
"conferences","Conferences","Konferencer"
"consumption","Consumption","Forbrug"
"corruption","Corruption","Korruption"
"creativeCircle","CreativeCircle","CreativeCircle"
"debate","Debate","Debat"
"decentWork","Decent work","Respektabelt arbejde"
"demonstrations","Demonstrations","Demonstrationer"
"digitalization","Digitalization","Digitalisering"
"divestment","Divestment","Divestment"
"doughnutModel","DoughnutModel","DoughnutModel"
"drinkingWater","Drinking water","Drikkeavnd"
"dropoliendan","Dropoliendan","Dropoliendan"
"economicSystem","Economic system","Økonomisk system"
"economy","Economy","Økonomi"
"education","Education","Uddannelse"
"energy","Energy","Energi"
"environment","Environment","Miljø"
"europeanGreenDeal","EuropeanGreenDeal","EuropeanGreenDeal"
"feminism","Feminism","Feminisme"
"focus","Focus","Fokus"
"food","Food","Mad"
"forest","Forest","Skov"
"genderEquality","Gender Equality","Kønslig ligestilling"
"greenFridayAarhus","GreenFridayAarhus","GreenFridayAarhus"
"greenNewDeal","GreenNewDeal","GreenNewDeal"
"greenlightAarhus","GreenlightAarhus","GreenlightAarhus"
"grøngenstart","Grøngenstart","Grøngenstart"
"grønneAktørerAarhus","GrønneAktørerAarhus","GrønneAktørerAarhus"
"grønneNaboFælleskaber","GrønneNaboFælleskaber","GrønneNaboFælleskaber"
"health","Health","Sundhed"
"housing","Housing","Bolig"
"hunger","Hunger","Sult"
"indigenousPeople","Indigenous people","Oprindelige folk"
"inequality","Inequality","Ulighed"
"innovation","Innovation","Innovation"
"investment","Investment","Investering"
"klimaplan","Klimaplan","Klimaplan"
"knowledgeSharing","Knowledge sharing","Vidensdeling"
"kommunalvalg2021","Kommunalvalg2021","Kommunalvalg2021"
"lobbyism","Lobbyism","Lobbyisme"
"mellowDesigns","MellowDesigns","MellowDesigns"
"mobilising","Mobilising","Mobilisering"
"partnerships","Partnerships","Partnerskaber"
"petitions","Petitions","Underskriftsindsamling"
"policyMaking","Policy making","Policy making"
"postGrowth","PostGrowth","Modvækst"
"poverty","Poverty","Fattigdom"
"production","Production","Produktion"
"reGeneration2030","ReGeneration2030","ReGeneration2030"
"refugees","Refugees","Flygtninge"
"research","Research","Forskning"
"scm","SCM","SCM"
"social","Social","Social"
"soil","Soil","Jord"
"stopbalticpipeline","Stopbalticpipeline","Stopbalticpipeline"
"tags","Tags","Tags"
"talks","Talks","Talks"
"technology","Technology","Teknologi"
"transportation","Transportation","Transport"
"uniteTheWorld","UniteTheWorld","UniteTheWorld"
"urbanPlanning","Urban planning","Byudvikling"
"violenceAbuse","Violence & Abuse","Vold og misbrug"
"waste","Waste","Affald"
"workshops","Workshops","Workshops"
"writeOpinionPieces","Write opinion pieces","Skrive meningstilkendegivelser"
"youthInvolvement","Youth involvement","Ungdomsinvolvering"